Location,Year,Month,average_monthly_rainfall
Adelaide,2008,August,3.3920000000000003
Adelaide,2008,December,1.3032258064516127
Adelaide,2008,July,2.888
Adelaide,2008,November,0.4758620689655173
Adelaide,2008,October,0.28571428571428575
Adelaide,2008,September,0.5714285714285715
Adelaide,2009,April,2.4533333333333336
Adelaide,2009,August,1.8600000000000003
Adelaide,2009,December,0.5870967741935484
Adelaide,2009,February,0.028571428571428567
Adelaide,2009,January,0.03870967741935485
Adelaide,2009,July,3.5161290322580645
Adelaide,2009,June,1.7333333333333332
Adelaide,2009,March,0.6903225806451613
Adelaide,2009,May,2.0322580645161294
Adelaide,2009,November,1.406666666666667
Adelaide,2009,October,0.5935483870967742
Adelaide,2009,September,2.1999999999999997
Adelaide,2010,April,1.6533333333333335
Adelaide,2010,August,3.972413793103448
Adelaide,2010,December,2.806451612903226
Adelaide,2010,February,0.19999999999999996
Adelaide,2010,January,0.2967741935483871
Adelaide,2010,July,2.0620689655172413
Adelaide,2010,June,2.2689655172413787
Adelaide,2010,March,0.6129032258064516
Adelaide,2010,May,1.8933333333333333
Adelaide,2010,November,0.7733333333333333
Adelaide,2010,October,0.9419354838709677
Adelaide,2010,September,2.4066666666666667
Adelaide,2011,August,3.5538461538461537
Adelaide,2011,December,0.5870967741935484
Adelaide,2011,February,1.6
Adelaide,2011,January,0.561290322580645
Adelaide,2011,July,2.117241379310345
Adelaide,2011,June,1.282758620689655
Adelaide,2011,March,2.638709677419355
Adelaide,2011,May,1.993548387096774
Adelaide,2011,November,0.8400000000000001
Adelaide,2011,October,1.3741935483870966
Adelaide,2011,September,1.56
Adelaide,2012,April,0.9310344827586204
Adelaide,2012,August,2.2666666666666666
Adelaide,2012,February,0.8620689655172412
Adelaide,2012,January,0.6206896551724139
Adelaide,2012,July,2.1354838709677417
Adelaide,2012,June,4.514285714285715
Adelaide,2012,March,2.070967741935484
Adelaide,2012,May,2.7130434782608694
Adelaide,2012,November,0.58
Adelaide,2012,October,0.6666666666666667
Adelaide,2012,September,0.7266666666666667
Adelaide,2013,April,1.2296296296296294
Adelaide,2013,August,2.910344827586207
Adelaide,2013,December,0.6000000000000001
Adelaide,2013,January,0.41428571428571426
Adelaide,2013,July,3.8451612903225807
Adelaide,2013,June,2.728571428571429
Adelaide,2013,March,0.7000000000000003
Adelaide,2013,May,2.0296296296296292
Adelaide,2013,November,0.1793103448275862
Adelaide,2013,October,1.2
Adelaide,2013,September,1.5777777777777777
Adelaide,2014,April,1.6866666666666663
Adelaide,2014,August,0.6709677419354835
Adelaide,2014,December,0.22857142857142856
Adelaide,2014,February,3.5071428571428576
Adelaide,2014,January,0.3517241379310344
Adelaide,2014,July,3.2129032258064516
Adelaide,2014,June,3.4733333333333336
Adelaide,2014,March,0.7307692307692308
Adelaide,2014,May,2.385185185185185
Adelaide,2014,November,0.8413793103448277
Adelaide,2014,October,0.16129032258064518
Adelaide,2014,September,1.0466666666666666
Adelaide,2015,April,1.913333333333333
Adelaide,2015,August,1.561290322580645
Adelaide,2015,December,0.4333333333333333
Adelaide,2015,February,0.02142857142857143
Adelaide,2015,January,1.3419354838709676
Adelaide,2015,July,2.3741935483870966
Adelaide,2015,June,0.5133333333333334
Adelaide,2015,March,0.0774193548387097
Adelaide,2015,May,2.5642857142857145
Adelaide,2015,November,0.33793103448275863
Adelaide,2015,October,0.29032258064516125
Adelaide,2015,September,1.7400000000000002
Adelaide,2016,April,0.3199999999999999
Adelaide,2016,August,1.896774193548387
Adelaide,2016,December,2.8000000000000007
Adelaide,2016,February,0.6344827586206894
Adelaide,2016,January,1.703225806451613
Adelaide,2016,July,3.6129032258064515
Adelaide,2016,June,3.1733333333333333
Adelaide,2016,March,1.7354838709677425
Adelaide,2016,May,2.8387096774193545
Adelaide,2016,November,1.1066666666666671
Adelaide,2016,October,2.6129032258064515
Adelaide,2016,September,4.373333333333333
Adelaide,2017,April,1.1066666666666665
Adelaide,2017,February,1.2370370370370367
Adelaide,2017,January,1.52258064516129
Adelaide,2017,June,0.08
Adelaide,2017,March,1.3133333333333335
Adelaide,2017,May,1.651612903225806
Albany,2008,December,0.9419354838709677
Albany,2009,April,0.8400000000000001
Albany,2009,August,3.8709677419354835
Albany,2009,December,0.16129032258064516
Albany,2009,February,0.5500000000000002
Albany,2009,January,0.496774193548387
Albany,2009,July,4.529032258064516
Albany,2009,June,7.373333333333333
Albany,2009,March,1.593548387096774
Albany,2009,May,2.3290322580645166
Albany,2009,November,0.9666666666666667
Albany,2009,October,1.774193548387097
Albany,2009,September,5.7
Albany,2010,April,2.66
Albany,2010,August,2.6580645161290324
Albany,2010,December,1.103225806451613
Albany,2010,February,0.37857142857142856
Albany,2010,January,0.5548387096774194
Albany,2010,July,5.070967741935484
Albany,2010,June,3.6
Albany,2010,March,1.264516129032258
Albany,2010,May,1.6387096774193548
Albany,2010,November,1.5400000000000003
Albany,2010,October,1.9741935483870967
Albany,2010,September,1.8466666666666662
Albany,2011,August,4.864516129032258
Albany,2011,December,1.935483870967742
Albany,2011,February,0.6607142857142858
Albany,2011,January,2.6548387096774193
Albany,2011,July,4.7
Albany,2011,June,4.1066666666666665
Albany,2011,March,0.3741935483870968
Albany,2011,May,2.7903225806451615
